ID;Distrito;Cidade/confirmada/UPA - SÓ TEM SP, NAO PODERÍAMOS TIRAR?;Relacao com UPA;Reside/UPA;Area/total hectares;Soma/area/total/propriedades/HA;Area/cultivada/inform/HA;Area/pastagem/HA;Area/veget/inform/HA;Comercializ/folhosas/hortalicas;Comercializ/raizes;Comercializ/frutas;Comercializ/legumes/graos;Comercializ/ornamentais;Comercializ/ervas/medicinais;Comercializ/mudas;Comercializ/outros;Culturas comercializadas;Especies/animais/produzidas;Comercializ/bovinos/corte;Comercializ/bovinos/leite;Comercializ/galinhas/frangos;Comercializ/patos;Comercializ/suinos;Comercializ/caprinos/corte/leite;Comercializ/cavalos;Comercializ/ovos;Comercializ/abelhas/mel;Comercializ/peixes;Comercializ/outras/especies/criadas;Comercializ/cliente/final;Comercializ/interm;Comercializ/quitandas/minimercados;Comercializ/restaur;Comercializ/supermerc;Comercializ/feiras;Comercializ/com/entrega;Comercializ/eventos;Comercializ/CEAGESP;Comercializ/entidades/sociais;Comercializ/poder/publico;Frequencia comercializacao via propriedade;Frequencia comercializacao via intermediario;Frequencia comercializacao via quitandas minimercados;Frequencia comercializacao via restaurantes;Frequencia comercializacao via supermercados;Frequencia comercializacao via feiras livres;Frequencia comercializacao via entrega;Frequencia comercializacao via eventos;Frequencia comercializacao via CEAGESP;Frequencia comercializacao via entidades sociais;Frequencia comercializacao via poder publico;Comercializ/regiao;Comercializ/outras/regioes/cid;Comercializ/outra/cid/15km;Comercializ/outra/cid;Transp/prop/distrib/prod;Embal/distrib/prod;Controle de pragas;Sexo;Faixa/etaria;Grau/instru;Renda/familiar/mensal;Faixa Renda média;Internet/freq;Possui/celular;Dificuldades/prod/classificacao1 - DIFICULDADES NO DIA A DIA PARA A PRODUÇÃO;Melhor/condicoes/trab/rendimento/classificacão1 - O QUE PRECISA PARA MELHORAR SUAS CONDIÇÕES DE TRABALHO
1;Parelheiros;Sao Paulo;Proprietario;Sim;0,8;Nao se aplica;0,4;Nao tem;0,02;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Gansos;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Ensino Medio Incompleto;7485;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de mao de obra;Cursos e capacitacoes, escola de agricultura
2;Parelheiros;Sao Paulo;Meeiro;Nao;0,15;Nao se aplica;0,15;0,15;Nao tem;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Ornamentais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Sim;Nao;Nao;Nao;Nao realiza;Masculino;45 a 59 anos;Ate Fundamental I Incompleto;Nao sabe/Nao respondeu;3996,5;Nao sabe/Nao respondeu;Nao;Falta de mao de obra;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
3;Grajau;Sao Paulo;Proprietario;Nao;2;Nao se aplica;2;2;Nao tem;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Nao se aplica;Ornamentais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Sim;Nao;Nao;Nao;Nao realiza;Masculino;45 a 59 anos;Fundamental I Completo;1497;Nao sabe/Nao respondeu;Todos os dias ou quase todos os dias;Sim;Falta de mao de obra;"Assistencia Tecnica Rural, ajuda da prefeitura nas etapas de producao. Equipamentos da prefeitura para uso coletivo;  cessao de equipamentos"
4;Parelheiros;Sao Paulo;Proprietario;Sim;0,24;Nao se aplica;0,2;Nao tem;Nao tem;Sim;Sim;Sim;Sim;Nao se aplica;Sim;Nao se aplica;Nao se aplica;Folhosas, hortalicas, raizes, frutas, legumes e graos, ervas medicinais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Sim;Sim;Nao;Nao;Nao;Agroquimicos;Masculino;60 anos ou mais;Ate Fundamental I Incompleto;1497;Nao se aplica;Nao sabe/Nao respondeu;Sim;Faltam recursos financeiros;Recursos e financiamento a juros baixos, facilitado, credito mais facil, mais investimentos publicos e mais subsidios (menos burocracia, menos impostos)
5;Parelheiros;Sao Paulo;Arrendatario;Sim;4;Nao se aplica;Nao respondeu;Nao tem;Nao respondeu;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Sim;Nao se aplica;Nao;Nao se aplica;Ornamentais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Pelo menos uma vez por mes;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Nao;Sim;Nao;Nao;Nao realiza;Masculino;45 a 59 anos;Ate Fundamental I Incompleto;1497;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Agua (falta ou excesso)/ Questoes climaticas;Maior e melhor rendimento das atividades na propriedade
6;Grajau;Sao Paulo;Proprietario;Sim;0,025;Nao se aplica;0,0062;Nao tem;Nao tem;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Naturais/organicos;Feminino;60 anos ou mais;Fundamental I Completo;1497;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Falta de mao de obra;Nao sabe/Nao respondeu/ Nao possui demandas
7;Marsilac;Sao Paulo;Funcionario;Sim;48;Nao se aplica;2,5;25;Nao respondeu;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Nao comercializa;Bovino de leite, galinha, patos, ovos, peixes;Nao se aplica;Nao;Nao;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Naturais/organicos;Masculino;35 a 44 anos;Fundamental II Incompleto;998;Nao se aplica;Todos os dias ou quase todos os dias;Sim;Outros (seguranca, terra e ruim, precos baixos dos produtos agricolas, pragas (formigas), falta espaco para crescer, rigor da legislacao ambiental;Mao de obra, mais produtividades
8;Grajau;Sao Paulo;Proprietario;Sim;0,03;0,26;Nao respondeu;Nao tem;Nao tem;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao comercializa;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Feminino;35 a 44 anos;Ensino Medio Incompleto;3996,5;Nao se aplica;Pelo menos uma vez por semana;Sim;Nao possui dificuldades/ Nao sabe/Nao respondeu;Mais maquinarios agricolas, caminhao e trator
9;Parelheiros;Sao Paulo;Arrendatario;Nao;1;Nao se aplica;0,8;Nao tem;0;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Sim;Nao se aplica;Nao;Nao se aplica;Ornamentais;Sem producao animal;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Sim;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao;Nao se aplica;Toda semana ou quase toda semana;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao;Sim;Sim;Nao;Nao;Utiliza, mas nao especificou;Masculino;35 a 44 anos;Ensino Medio Completo;7485;Nao se aplica;Nao sabe/Nao respondeu;Sim;Problemas com infraestrutura, logistica de escoamento da producao;Infraestrutura viaria, energia, telefonia, melhoria das estradas, escoamento da producao
10;Grajau;Sao Paulo;Proprietario;Nao;0,07;Nao se aplica;Nao respondeu;Nao tem;Nao tem;Nao;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao comercializa;Galinha, ovos;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao se aplica;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao sabe/Nao respondeu;Nao;Nao;Nao;Nao realiza;Masculino;60 anos ou mais;Ate Fundamental I Incompleto;1497;Nao se aplica;Nao sabe/Nao respondeu;Nao;Nao possui dificuldades/ Nao sabe/Nao respondeu;Nao sabe/Nao respondeu/ Nao possui demandas
